date,time,symbol,expiry,strike,put_call,side,spot,size,price,premium,sweep_block_split,volume,open_int,conds
02/09/2024,02:43:48 PM,SPY,02/09/2024,501,put,mid,501.48,1508,$0.20,$31.2K,sweep,133271,1621,
02/09/2024,02:43:37 PM,SPY,02/09/2024,502,put,bid,501.46,415,$0.74,$30.7K,sweep,27884,964,
02/09/2024,02:43:37 PM,SPY,02/09/2024,501,put,mid,501.46,2709,$0.21,$57.2K,sweep,131575,1621,opening
02/09/2024,02:43:23 PM,SPY,02/09/2024,501,put,bid,501.49,1157,$0.22,$25.5K,sweep,128606,1621,
02/09/2024,02:43:23 PM,SPY,02/09/2024,502,put,mid,501.49,614,$0.73,$44.9K,sweep,27284,964,
02/09/2024,02:43:18 PM,SPY,02/12/2024,497,put,ask,501.51,2000,$0.17,$34K,split,30503,5714,
02/09/2024,02:43:08 PM,SPY,02/09/2024,501,call,mid,501.51,434,$0.72,$31.7K,sweep,303250,19179,
02/09/2024,02:42:49 PM,SPY,02/12/2024,501,call,bid,501.49,189,$1.53,$28.9K,sweep,91169,3705,
02/09/2024,02:42:34 PM,SPY,04/19/2024,475,put,ask,501.51,200,$2.87,$57.4K,block,6595,18393,
02/09/2024,02:42:29 PM,SPY,02/09/2024,502,put,mid,501.50,3214,$0.73,$237.7K,sweep,25251,964,opening
02/09/2024,02:42:25 PM,SPY,02/09/2024,502,put,mid,501.48,1738,$0.75,$132K,sweep,22037,964,opening
02/09/2024,02:42:05 PM,SPY,02/09/2024,500,call,mid,501.48,204,$1.53,$31.2K,sweep,519557,45384,
02/09/2024,02:41:54 PM,SPY,02/16/2024,503,call,ask,501.48,196,$2.41,$47.2K,sweep,10406,1550,
02/09/2024,02:41:52 PM,SPY,03/15/2024,500,call,ask,501.47,200,$8.91,$178.2K,sweep,6452,30806,
02/09/2024,02:41:43 PM,SPY,02/16/2024,503,call,ask,501.47,179,$2.41,$43.1K,sweep,10210,1550,
02/09/2024,02:41:43 PM,SPY,02/16/2024,501,call,mid,501.47,1692,$3.43,$581.7K,sweep,24333,37848,
02/09/2024,02:41:29 PM,SPY,03/15/2024,515,call,ask,501.46,200,$2.39,$47.8K,block,4234,13002,
02/09/2024,02:41:28 PM,SPY,02/14/2024,500,put,ask,501.44,200,$1.62,$32.4K,split,8484,453,
02/09/2024,02:41:26 PM,SPY,02/13/2024,500,put,bid,501.44,248,$1.34,$33.2K,sweep,16906,1969,
02/09/2024,02:41:24 PM,SPY,02/09/2024,501,call,below,501.43,431,$0.71,$30.7K,sweep,299870,19179,
02/09/2024,02:41:23 PM,SPY,02/09/2024,501,put,below,501.43,1499,$0.28,$43.2K,sweep,121497,1621,
02/09/2024,02:41:17 PM,SPY,02/23/2024,498,put,ask,501.48,184,$2.14,$39.4K,sweep,1915,6373,
02/09/2024,02:41:17 PM,SPY,02/09/2024,502,call,mid,501.48,1004,$0.28,$29.1K,sweep,192855,15936,
02/09/2024,02:41:17 PM,SPY,02/12/2024,501,put,mid,501.48,1275,$0.99,$126.5K,sweep,32412,59,opening
02/09/2024,02:41:17 PM,SPY,03/01/2024,496,put,bid,501.48,167,$2.39,$39.9K,sweep,983,424,
02/09/2024,02:41:15 PM,SPY,02/16/2024,498,put,bid,501.49,200,$1.35,$27K,block,16081,5474,
02/09/2024,02:41:15 PM,SPY,02/09/2024,502,call,bid,501.51,969,$0.29,$28.1K,sweep,191406,15936,
02/09/2024,02:41:13 PM,SPY,02/09/2024,500,call,below,501.53,521,$1.57,$82.1K,sweep,518877,45384,
02/09/2024,02:41:13 PM,SPY,03/15/2024,500,put,bid,501.53,501,$5.47,$274K,sweep,19582,13725,
02/09/2024,02:41:12 PM,SPY,03/01/2024,497,put,ask,501.53,156,$2.64,$41.2K,split,982,4940,
02/09/2024,02:41:11 PM,SPY,02/12/2024,499,call,ask,501.53,157,$3.00,$47.1K,sweep,49953,4543,
02/09/2024,02:41:10 PM,SPY,02/09/2024,502,call,above,501.51,1429,$0.27,$39.1K,sweep,188758,15936,
02/09/2024,02:41:08 PM,SPY,02/14/2024,502,put,ask,501.51,200,$2.47,$49.4K,sweep,1721,22,opening
02/09/2024,02:41:07 PM,SPY,02/12/2024,501,call,mid,501.50,215,$1.54,$33.2K,sweep,90194,3705,
02/09/2024,02:41:07 PM,SPY,02/09/2024,501,put,ask,501.49,1011,$0.25,$25.3K,sweep,118651,1621,
02/09/2024,02:41:07 PM,SPY,02/12/2024,501,put,ask,501.49,400,$0.97,$38.8K,block,30968,59,opening
02/09/2024,02:41:07 PM,SPY,02/09/2024,501,put,ask,501.49,1339,$0.24,$33.5K,sweep,119285,1621,
02/09/2024,02:41:05 PM,SPY,03/21/2025,585,call,ask,501.46,250,$6.65,$166.3K,block,264,5960,
02/09/2024,02:41:05 PM,SPY,02/15/2024,500,put,bid,501.44,202,$1.80,$36.4K,sweep,3167,1968,
02/09/2024,02:41:05 PM,SPY,02/09/2024,501,call,above,501.44,556,$0.69,$38.4K,sweep,297463,19179,
02/09/2024,02:41:05 PM,SPY,02/09/2024,502,call,above,501.44,2312,$0.22,$50.9K,sweep,184738,15936,
02/09/2024,02:41:01 PM,SPY,02/09/2024,501,call,above,501.39,710,$0.64,$45.8K,sweep,296608,19179,
02/09/2024,02:41:00 PM,SPY,02/09/2024,502,call,above,501.39,2094,$0.18,$37.7K,sweep,181800,15936,
02/09/2024,02:40:53 PM,SPY,03/21/2025,575,call,ask,501.37,250,$8.85,$221.3K,block,764,10173,
02/09/2024,02:40:51 PM,SPY,02/09/2024,501,put,below,501.32,1593,$0.24,$38.6K,sweep,115456,1621,
02/09/2024,02:40:43 PM,SPY,02/12/2024,500,put,mid,501.31,391,$0.66,$25.9K,sweep,67746,1413,
02/09/2024,02:40:42 PM,SPY,02/12/2024,501,put,ask,501.32,580,$1.03,$59.7K,sweep,30347,59,opening
02/09/2024,02:40:42 PM,SPY,02/21/2024,498,put,ask,501.32,150,$1.88,$28.2K,split,489,518,
02/09/2024,02:40:39 PM,SPY,04/19/2024,490,put,bid,501.32,600,$5.21,$312.6K,split,6467,9654,
02/09/2024,02:40:30 PM,SPY,02/23/2024,498,put,bid,501.33,165,$2.17,$35.8K,split,1670,6373,
02/09/2024,02:40:30 PM,SPY,03/01/2024,498,put,bid,501.32,200,$2.99,$59.8K,sweep,3017,2654,
02/09/2024,02:40:24 PM,SPY,02/16/2024,497,call,ask,501.27,270,$6.00,$162K,sweep,7021,10391,
02/09/2024,02:40:24 PM,SPY,03/21/2025,570,call,ask,501.27,250,$10.15,$253.8K,sweep,1280,5852,
02/09/2024,02:40:23 PM,SPY,02/12/2024,500,call,above,501.26,183,$2.00,$36.6K,sweep,160232,9704,
02/09/2024,02:40:03 PM,SPY,02/09/2024,502,put,bid,501.24,783,$0.91,$71.3K,block,18041,964,
02/09/2024,02:39:33 PM,SPY,02/09/2024,501,call,mid,501.20,509,$0.49,$25.4K,sweep,292709,19179,
02/09/2024,02:39:30 PM,SPY,02/09/2024,501,call,above,501.21,769,$0.50,$38.9K,sweep,292197,19179,
02/09/2024,02:39:27 PM,SPY,02/09/2024,502,put,below,501.20,800,$0.92,$73.9K,sweep,17127,964,
02/09/2024,02:39:21 PM,SPY,02/09/2024,500,call,mid,501.23,199,$1.29,$25.7K,block,516355,45384,
02/09/2024,02:39:17 PM,SPY,02/12/2024,501,put,bid,501.22,685,$1.07,$73.3K,sweep,29278,59,opening
02/09/2024,02:39:14 PM,SPY,02/12/2024,501,put,below,501.19,560,$1.08,$60.5K,sweep,28592,59,opening
02/09/2024,02:39:13 PM,SPY,02/09/2024,500,call,mid,501.18,847,$1.25,$106.1K,sweep,516137,45384,
02/09/2024,02:38:51 PM,SPY,02/09/2024,502,put,bid,501.15,300,$0.97,$29.1K,split,16039,964,
02/09/2024,02:38:38 PM,SPY,02/09/2024,500,call,ask,501.16,252,$1.23,$31K,sweep,515225,45384,
02/09/2024,02:38:13 PM,SPY,02/29/2024,490,put,ask,501.12,384,$1.23,$47.2K,sweep,2518,7123,
02/09/2024,02:38:10 PM,SPY,02/09/2024,501,put,bid,501.13,1386,$0.35,$48.5K,block,110702,1621,
02/09/2024,02:37:45 PM,SPY,02/09/2024,501,call,mid,501.10,818,$0.43,$35.7K,sweep,289932,19179,
02/09/2024,02:37:07 PM,SPY,05/17/2024,466,put,bid,501.13,347,$3.33,$115.6K,sweep,1091,686,
02/09/2024,02:37:03 PM,SPY,03/15/2024,500,put,bid,501.13,254,$5.63,$143K,sweep,18578,13725,
02/09/2024,02:36:52 PM,SPY,02/16/2024,501,call,ask,501.12,500,$3.23,$161.5K,sweep,22398,37848,
02/09/2024,02:36:49 PM,SPY,08/16/2024,460,put,ask,501.15,317,$6.38,$202.2K,sweep,2439,5693,
02/09/2024,02:36:38 PM,SPY,02/16/2024,493,put,ask,501.13,980,$0.55,$53.9K,sweep,14081,14379,
02/09/2024,02:36:07 PM,SPY,02/16/2024,494,put,ask,501.09,1000,$0.66,$66K,sweep,11767,6757,
02/09/2024,02:36:06 PM,SPY,02/16/2024,505,call,ask,501.10,223,$1.47,$32.8K,sweep,16893,17050,
02/09/2024,02:35:56 PM,SPY,06/21/2024,517,call,bid,501.11,249,$10.73,$267.2K,block,1692,217,opening
02/09/2024,02:35:56 PM,SPY,02/16/2024,501,call,bid,501.11,162,$3.22,$52.2K,block,21897,37848,
02/09/2024,02:35:56 PM,SPY,02/12/2024,500,call,bid,501.14,185,$1.92,$35.5K,sweep,159541,9704,
02/09/2024,02:35:55 PM,SPY,02/12/2024,501,put,ask,501.14,600,$1.13,$67.8K,sweep,27420,59,opening
02/09/2024,02:35:55 PM,SPY,02/09/2024,500,call,below,501.14,277,$1.21,$33.8K,sweep,514219,45384,
02/09/2024,02:35:34 PM,SPY,02/13/2024,502,put,ask,501.15,200,$2.38,$47.6K,block,2515,472,
02/09/2024,02:35:26 PM,SPY,02/13/2024,502,put,ask,501.15,200,$2.38,$47.6K,split,2315,472,
02/09/2024,02:35:17 PM,SPY,02/12/2024,501,put,ask,501.15,400,$1.12,$44.8K,sweep,26501,59,opening
02/09/2024,02:35:16 PM,SPY,02/09/2024,499,call,bid,501.18,500,$2.18,$109K,sweep,223288,24621,
02/09/2024,02:35:15 PM,SPY,02/16/2024,501,call,bid,501.21,347,$3.27,$113.5K,sweep,21726,37848,
02/09/2024,02:35:12 PM,SPY,02/16/2024,499,call,ask,501.21,176,$4.50,$79.2K,sweep,15521,8386,
02/09/2024,02:35:12 PM,SPY,02/09/2024,501,call,mid,501.20,605,$0.50,$30.3K,sweep,287351,19179,
02/09/2024,02:35:12 PM,SPY,02/12/2024,501,put,below,501.19,538,$1.09,$58.6K,sweep,26082,59,opening
02/09/2024,02:35:11 PM,SPY,02/12/2024,500,call,mid,501.19,198,$1.95,$38.6K,sweep,159288,9704,
02/09/2024,02:35:01 PM,SPY,02/16/2024,501,call,ask,501.15,500,$3.25,$162.5K,sweep,21379,37848,
02/09/2024,02:34:51 PM,SPY,02/09/2024,500,call,ask,501.16,319,$1.23,$39.6K,sweep,513480,45384,
